,Name,Page,Birthplace,Years of experience,Age,Position,Team,PER,Salary
462,Alan Williams,https://www.basketball-reference.com/players/w/willial03.html,Arizona,4,24,C,PHO,19.5,874636
463,Deron Williams,https://www.basketball-reference.com/players/w/willide01.html,West Virginia,12,33,PG,TOT,14.0,9000000
464,Derrick Williams,https://www.basketball-reference.com/players/w/willide02.html,California,7,26,PF,TOT,10.6,4598000
465,Lou Williams,https://www.basketball-reference.com/players/w/willilo02.html,Tennessee,16,31,SG,TOT,21.4,7000000
466,Marvin Williams,https://www.basketball-reference.com/players/w/willima02.html,Washington,15,31,PF,CHO,13.7,12250000
467,Reggie Williams,https://www.basketball-reference.com/players/w/willire02.html,Virginia,7,31,SF,NOP,11.7,252676
468,Troy Williams,https://www.basketball-reference.com/players/w/willitr02.html,Virginia,3,23,SF,TOT,9.0,543471
469,Justise Winslow,https://www.basketball-reference.com/players/w/winslju01.html,Texas,6,21,SF,MIA,8.2,2593440
470,Jeff Withey,https://www.basketball-reference.com/players/w/witheje01.html,California,5,27,C,UTA,18.8,1015696
471,Christian Wood,https://www.basketball-reference.com/players/w/woodch01.html,California,5,22,PF,CHO,15.1,874636
472,Metta World Peace,https://www.basketball-reference.com/players/a/artesro01.html,New York,17,38,SF,LAL,6.5,1551659
473,Brandan Wright,https://www.basketball-reference.com/players/w/wrighbr03.html,Tennessee,10,30,PF,MEM,18.5,5700000
474,Delon Wright,https://www.basketball-reference.com/players/w/wrighde01.html,California,6,25,PG,TOR,15.0,1577280
475,James Young,https://www.basketball-reference.com/players/y/youngja01.html,Michigan,4,22,SG,BOS,10.0,1825200
476,Joe Young,https://www.basketball-reference.com/players/y/youngjo01.html,Texas,3,25,PG,IND,11.4,1052342
477,Nick Young,https://www.basketball-reference.com/players/y/youngni01.html,California,12,32,SG,LAL,14.1,5443918
478,Thaddeus Young,https://www.basketball-reference.com/players/y/youngth01.html,Louisiana,14,29,PF,IND,14.9,14153652
479,Cody Zeller,https://www.basketball-reference.com/players/z/zelleco01.html,Indiana,8,25,C,CHO,16.7,5318313
480,Tyler Zeller,https://www.basketball-reference.com/players/z/zellety01.html,California,8,27,C,BOS,13.0,8000000
481,Stephen Zimmerman,https://www.basketball-reference.com/players/z/zimmest01.html,Tennessee,1,21,C,ORL,7.3,950000
482,Paul Zipser,https://www.basketball-reference.com/players/z/zipsepa01.html,Germany,2,23,SF,CHI,6.9,750000
483,Ivica Zubac,https://www.basketball-reference.com/players/z/zubaciv01.html,Bosnia and Herzegovina,5,20,C,LAL,17.0,1034956
