,Name,Page,Birthplace,Years of experience,Age,Position,Team,PER,Salary
72,Isaiah Canaan,https://www.basketball-reference.com/players/c/canaais01.html,Mississippi,6,26,SG,CHI,8.1,1015696
73,Clint Capela,https://www.basketball-reference.com/players/c/capelca01.html,Switzerland,7,23,C,HOU,21.4,1296240
74,DeMarre Carroll,https://www.basketball-reference.com/players/c/carrode01.html,Alabama,11,31,SF,TOR,11.9,14200000
75,Vince Carter,https://www.basketball-reference.com/players/c/cartevi01.html,Florida,22,40,SF,MEM,11.7,4264057
76,Michael Carter-Williams,https://www.basketball-reference.com/players/c/cartemi01.html,Massachusetts,8,26,PG,CHI,9.9,3183526
77,Omri Casspi,https://www.basketball-reference.com/players/c/casspom01.html,Israel,10,29,PF,TOT,10.0,3000000
78,Willie Cauley-Stein,https://www.basketball-reference.com/players/c/caulewi01.html,Kansas,6,24,C,SAC,16.3,3551160
79,Tyson Chandler,https://www.basketball-reference.com/players/c/chandty01.html,California,19,35,C,PHO,16.6,12415000
80,Wilson Chandler,https://www.basketball-reference.com/players/c/chandwi01.html,Michigan,12,30,SF,DEN,14.9,11200000
81,Marquese Chriss,https://www.basketball-reference.com/players/c/chrisma01.html,California,5,20,PF,PHO,12.3,2941440
82,Rakeem Christmas,https://www.basketball-reference.com/players/c/chrisra01.html,New Jersey,2,26,PF,IND,10.4,1052342
83,Semaj Christon,https://www.basketball-reference.com/players/c/chrisse01.html,Ohio,1,25,PG,OKC,5.7,543471
84,Ian Clark,https://www.basketball-reference.com/players/c/clarkia01.html,Tennessee,6,26,SG,GSW,13.1,1015696
85,Jordan Clarkson,https://www.basketball-reference.com/players/c/clarkjo01.html,Florida,7,25,SG,LAL,13.2,12500000
86,Norris Cole,https://www.basketball-reference.com/players/c/coleno01.html,Ohio,6,29,PG,OKC,5.4,247991
87,Darren Collison,https://www.basketball-reference.com/players/c/collida01.html,California,10,30,PG,SAC,15.3,5229454
88,Nick Collison,https://www.basketball-reference.com/players/c/collini01.html,Iowa,14,37,PF,OKC,12.9,3750000
89,Mike Conley,https://www.basketball-reference.com/players/c/conlemi01.html,Arkansas,14,30,PG,MEM,23.2,26540100
90,Pat Connaughton,https://www.basketball-reference.com/players/c/connapa01.html,Massachusetts,6,24,SG,POR,11.8,874636
91,Quinn Cook,https://www.basketball-reference.com/players/c/cookqu01.html,District of Columbia,5,24,PG,TOT,11.8,79922
92,DeMarcus Cousins,https://www.basketball-reference.com/players/c/couside01.html,Alabama,10,27,C,TOT,25.8,16957900
93,Robert Covington,https://www.basketball-reference.com/players/c/covinro01.html,Illinois,8,27,SF,PHI,13.2,1015696
94,Allen Crabbe,https://www.basketball-reference.com/players/c/crabbal01.html,California,7,25,SG,POR,11.6,18500000
95,Jamal Crawford,https://www.basketball-reference.com/players/c/crawfja01.html,Washington,20,37,SG,LAC,12.0,13253012
96,Jordan Crawford,https://www.basketball-reference.com/players/c/crawfjo02.html,Michigan,6,29,SG,NOP,17.6,234915
97,Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html,Georgia,9,27,SF,BOS,14.9,6286408
98,Dante Cunningham,https://www.basketball-reference.com/players/c/cunnida01.html,Maryland,10,30,PF,NOP,10.2,2978250
99,Seth Curry,https://www.basketball-reference.com/players/c/curryse01.html,North Carolina,7,27,PG,DAL,15.5,2898000
100,Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html,Ohio,12,29,PG,GSW,24.6,12112359
101,Troy Daniels,https://www.basketball-reference.com/players/d/danietr01.html,Virginia,7,26,SG,MEM,10.4,3332940
102,Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html,Illinois,9,24,C,NOP,27.5,22116750
103,Deyonta Davis,https://www.basketball-reference.com/players/d/davisde01.html,Michigan,3,21,C,MEM,10.6,1369229
104,Ed Davis,https://www.basketball-reference.com/players/d/davised01.html,District of Columbia,11,28,PF,POR,11.5,6666667
105,Dewayne Dedmon,https://www.basketball-reference.com/players/d/dedmode01.html,California,8,28,C,SAS,16.0,2898000
106,Sam Dekker,https://www.basketball-reference.com/players/d/dekkesa01.html,Wisconsin,4,23,PF,HOU,13.1,1720560
107,Malcolm Delaney,https://www.basketball-reference.com/players/d/delanma01.html,Maryland,2,28,PG,ATL,7.5,2500000
108,Matthew Dellavedova,https://www.basketball-reference.com/players/d/dellama01.html,Australia,8,27,PG,MIL,9.4,9607500
109,Luol Deng,https://www.basketball-reference.com/players/d/denglu01.html,South Sudan,15,32,SF,LAL,10.1,18000000
110,DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html,California,12,28,SG,TOR,24.0,26540100
111,Cheick Diallo,https://www.basketball-reference.com/players/d/diallch01.html,Mali,4,21,PF,NOP,16.8,543471
112,Boris Diaw,https://www.basketball-reference.com/players/d/diawbo01.html,France,14,35,PF,UTA,9.0,7000000
113,Gorgui Dieng,https://www.basketball-reference.com/players/d/dienggo01.html,Senegal,8,27,PF,MIN,14.2,2348783
114,Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html,California,7,24,PG,BRK,12.7,726672
115,Toney Douglas,https://www.basketball-reference.com/players/d/douglto01.html,Georgia,8,31,PG,MEM,10.6,603558
116,Goran Dragić,https://www.basketball-reference.com/players/d/dragigo01.html,Slovenia,13,31,PG,MIA,19.8,15890000
117,Andre Drummond,https://www.basketball-reference.com/players/d/drumman01.html,New York,9,24,C,DET,20.9,22116750
